Date,gdp.log,inflation,oil,import,interest,inflation.expectations
1955/6/1,1.683733908,-2.04805008,.,.,.,.
1955/9/1,1.724449648,-0.976593437,.,.,.,.
1955/12/1,1.740084565,-1.521113815,.,.,.,.
1956/3/1,1.77675591,-1.165674904,.,.,.,.
1956/6/1,1.780901509,1.612733786,.,.,.,.
1956/9/1,1.787419571,0.728226883,.,.,.,.
1956/12/1,1.798486284,2.895001448,.,.,.,.
1957/3/1,1.826537624,4.069162864,.,.,.,.
1957/6/1,1.852000411,2.429041097,.,.,.,.
1957/9/1,1.873259108,3.958553821,.,.,.,.
1957/12/1,1.887259617,2.276322073,.,.,.,.
1958/3/1,1.887963272,-1.606170362,.,.,.,.
1958/6/1,1.918442153,-0.610185151,.,.,.,.
1958/9/1,1.932557615,-1.069747593,.,.,.,.
1958/12/1,1.945325883,-0.655872001,.,.,.,.
1959/3/1,1.962545255,0.176081656,.,.,.,.
1959/6/1,1.994990579,2.753338847,.,.,.,.
1959/9/1,2.044871999,2.258856336,.,.,.,.
1959/12/1,2.036463366,3.067432144,.,.,.,.
1960/3/1,2.104770051,5.336306439,.,.,8.528483571,.
1960/6/1,2.106226429,-0.158438222,.,-3.84988535,8.528483571,.
1960/9/1,2.139719959,2.455628273,.,-10.18664257,8.528483571,.
1960/12/1,2.177434841,3.945821897,.,-2.920690042,8.528483571,.
1961/3/1,2.207906291,2.564673213,.,6.345142963,8.221813571,.
1961/6/1,2.228733415,5.673491598,.,8.563414956,8.158483571,.
1961/9/1,2.247576777,7.556770089,.,-3.092798913,8.468483571,.
1961/12/1,2.292435858,7.12564575,.,-6.25827629,8.828483571,.
1962/3/1,2.306034313,4.220258382,.,-1.316223629,8.888483571,.
1962/6/1,2.319810907,3.360370156,.,-4.241259086,8.888483571,2.459252831
1962/9/1,2.331881625,6.269434076,.,-7.260703554,8.888483571,2.164764111
1962/12/1,2.35250956,5.71264893,.,0.27127841,9.198483571,1.939308793
1963/3/1,2.366262369,10.60333738,.,6.989425144,8.281813571,2.161405928
1963/6/1,2.395199729,5.451966318,.,6.607352084,7.308483571,4.012181106
1963/9/1,2.424074443,4.452409435,.,2.873012678,7.428483571,3.957402084
1963/12/1,2.457937837,3.672753055,.,9.769123088,7.671813571,6.496404768
1964/3/1,2.489377848,3.21976723,.,2.279208446,8.341813571,5.482630131
1964/6/1,2.513212197,4.164098253,.,-6.106988852,9.865153571,6.185501704
1964/9/1,2.52852913,3.272470497,.,-4.382899152,11.32515357,4.916881871
1964/12/1,2.540934006,5.237820262,.,0.776950714,11.07848357,4.733112228
1965/3/1,2.549060569,7.228751682,.,-7.57449992,8.528483571,4.670667153
1965/6/1,2.56146981,5.914423077,-5.7,0.790253797,7.308483571,4.373621904
1965/9/1,2.583880962,5.926344047,-1,-0.263244498,6.578483571,4.676353376
1965/12/1,2.599275883,6.442669153,-1.4,0.263244498,5.968483571,4.743107247
1966/3/1,2.625704796,5.653489134,4.4,8.591283723,5.968483571,4.868764114
1966/6/1,2.664087038,5.98892976,-15.2,1.028939474,5.968483571,4.955297823
1966/9/1,2.6881145,3.361249846,-3.7,-0.514138888,5.968483571,5.016173516
1966/12/1,2.707884368,0.658794099,0.1,-3.0987889,5.968483571,5.037130541
1967/3/1,2.734046648,3.022730265,-2.7,0,6.091813571,5.109433624
1967/6/1,2.760600242,3.191198097,-10.4,-4.956046447,6.091813571,5.443292768
1967/9/1,2.794688123,4.45371847,16.2,-1.051248963,6.701813571,5.945449174
1967/12/1,2.813830395,8.773968487,25.4,7.559690631,7.188483571,6.487813073
1968/3/1,2.837405831,4.204656429,-9.1,4.621360776,7.918483571,6.798202792
1968/6/1,2.870966882,4.677048122,-12.4,-7.472036916,8.158483571,5.981127748
1968/9/1,2.893351405,5.097252905,-8.8,-4.71E+00,8.281813571,5.633177865
1968/12/1,2.948761552,5.938832709,-4.5,2.622960218,7.675153571,4.442957921
1969/3/1,2.957510973,3.40042054,-2.7,5.194878211,7.551813571,3.738186951
1969/6/1,2.986221414,5.139467741,-8.8,6.654024202,7.188483571,5.071528248
1969/9/1,3.009891343,5.763381491,-5.2,-0.762146944,8.111813571,4.81541555
1969/12/1,3.048177872,5.332887722,0.1,3.544326987,8.461813571,4.532938301
1970/3/1,3.0783542,8.014365483,4.6,11.91894512,8.545153571,4.818909373
1970/6/1,3.090413667,2.180108416,-2.5,0.733272433,8.378483571,5.194563803
1970/9/1,3.116867498,7.198455971,-5.1,-5.656411503,8.628483571,4.710483559
1970/12/1,3.113641174,8.790327388,10.2,-1.488835466,8.098483571,4.693813949
1971/3/1,3.122707572,5.915532827,24.1,5.677355413,7.425153571,4.510972003
1971/6/1,3.138713717,6.29874381,52.5,5.839519768,6.725153571,4.678080168
1971/9/1,3.150823987,6.613780535,2.2,-3.152486763,6.365153571,5.474103034
1971/12/1,3.159892224,4.628406316,-20.5,-19.96671505,5.655153571,4.396097091
1972/3/1,3.191951436,3.976224187,-6.7,-8.013192048,5.251813571,4.276831384
