Date,rstar (filtered),g (filtered),z (filtered),output gap (filtered),,All results are output from the Stage 3 model.,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap,,Date,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1975-01-01,2.67754789980008,2.9860470907085,-0.308499190908426,-1.4848180685326,,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,-18.8106713898001,,1975-01-01,2.95839409484578,3.59316506204077,-0.634770967194989,-1.82440764345012
1975-04-01,3.37305330068472,3.46262310129269,-0.0895698006079736,-0.599910085236786,,a_1,a_2,a_3,b_1,b_2,b_3,b_4,b_5,c,sigma_1,sigma_2,sigma_4,a_1 + a_2,,,,,,,-15.6470799306847,,1975-04-01,2.79584461204229,3.59979132789583,-0.803946715853542,-0.765681622700356
1975-07-01,3.14103417013321,3.34601135089508,-0.204977180761869,-0.177301850829565,,0.890012291996137,-0.001,-0.025,0.89298361882453,-0.0708962470795417,0.025,-0.000196648283281005,0.0252931992533732,1,0.715442310780674,1.37090875057238,0.61365529214609,0.889012291996137,,,,,,,-17.5712281501332,,1975-07-01,2.61310567822331,3.60053066474945,-0.987424986526139,-0.441614121959333
1975-10-01,2.91296824415426,3.26019913986448,-0.347230895710224,0.162328254649822,,,,,,,,,,,,,,,,,,,,,-13.4104739931543,,1975-10-01,2.49939028916697,3.60388425913497,-1.104493969968,-0.195073423763461
1976-01-01,2.59584249477702,3.1146802333216,-0.518837738544581,0.460062937437613,,,,,,,,,,,,,,,,,,,,,-5.39321859377702,,1976-01-01,2.47523850329901,3.61017728263156,-1.13493877933254,-0.101318901482443
1976-04-01,2.23317726875603,2.97808689412609,-0.744909625370064,0.547507583838296,,,,,,,,,,,,,,,,,,,,,-5.13272664875603,,1976-04-01,2.57225867600738,3.62081841110201,-1.04855973509464,-0.236367159476629
1976-07-01,2.74528996936356,3.19317931603916,-0.447889346675599,0.710192056108042,,,,,,,,,,,,,,,,,,,,,-4.83598699936356,,1976-07-01,2.71456986673908,3.63610891398456,-0.921539047245481,0.0669703086678624
1976-10-01,2.07385447869155,2.95391026192177,-0.880055783230228,0.613370522230525,,,,,,,,,,,,,,,,,,,,,-5.71577793769155,,1976-10-01,2.93274585755783,3.64731380365101,-0.714567946093176,-0.410850984695173
1977-01-01,3.28281695681812,3.37713863615882,-0.0943216793407041,0.931256573709959,,,,,,,,,,,,,,,,,,,,,-7.27503459581812,,1977-01-01,3.16607384638804,3.6662780559782,-0.500204209590168,0.342946936993258
1977-04-01,3.05620103193063,3.31877012769846,-0.262569095767836,0.946225764861083,,,,,,,,,,,,,,,,,,,,,-7.94646940093063,,1977-04-01,3.33570260609107,3.6728874435528,-0.337184837461729,0.21935537539656
1977-07-01,2.78260025442143,3.26312804013592,-0.480527785714494,0.950807732035116,,,,,,,,,,,,,,,,,,,,,-8.03621495342143,,1977-07-01,3.60669476806324,3.68229815151155,-0.0756033834483105,0.0840096362611575
1977-10-01,3.10543251161021,3.38340616954903,-0.277973657938814,1.10979049308105,,,,,,,,,,,,,,,,,,,,,-8.72944161061021,,1977-10-01,3.92384537618061,3.69452892538759,0.22931645079302,0.352801508912421
1978-01-01,3.78203357253195,3.62691987507723,0.15511369745472,1.35157837426203,,,,,,,,,,,,,,,,,,,,,-9.23028475153195,,1978-01-01,4.16005440653479,3.70256300404846,0.457491402486327,0.938738919518812
1978-04-01,3.72077480244756,3.62463416612219,0.0961406363253699,1.41559954261629,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,-9.66882396144756,,1978-04-01,4.33825840475484,3.70152148656748,0.636736918187367,0.975757431471038
1978-07-01,4.05177633239009,3.68881093197961,0.362965400410473,1.58536232338008,,lambda_g,0.0782634122843809,,,-526.476284009512,,,,,,,,,,,,,,,-9.57559884139009,,1978-07-01,4.52063975280437,3.70038205557703,0.820257697227342,1.19990154924125
1978-10-01,4.11448641154189,3.80797460939958,0.306511802142312,1.65371437911313,,lambda_z,0.0928469545437155,,,,,,,,,,,,,,,,,,-9.47333753554189,,1978-10-01,4.6528108794692,3.69567282224942,0.957138057219775,1.51632229460017
1979-01-01,4.31664236894907,3.92417448209894,0.392467886850135,1.75603957885136,,,,,,,,,,,,,,,,,,,,,-9.11102048794907,,1979-01-01,4.7018022388928,3.68584139346243,1.01596084543038,1.86274815318615
1979-04-01,4.83866678171964,4.10073736844684,0.737929413272802,1.93575926600766,,,,,,,,,,,,,,,,,,,,,-8.36998712471964,,1979-04-01,4.61266908468816,3.67001193823661,0.942657146451553,2.40460761955802
1979-07-01,4.69192078909342,4.03848549812612,0.653435290967306,1.90675713108169,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t-1} g_{t-2} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,-4.92214122509342,,1979-07-01,4.43624629276574,3.64516621497695,0.791080077788793,2.30453386401933
1979-10-01,3.85069360268592,3.94940168397734,-0.0987080812914191,1.62111552008633,,Initial State Vector,,,,,,,,,,,,,,,,,,,-1.44383872468592,,1979-10-01,4.30641197164432,3.62181670680913,0.684595264835192,1.99433863772992
1980-01-01,4.40828247786362,3.98082652041497,0.427455957448647,1.66668087357971,,330.862910026943,329.863775434054,328.864640841164,0.99913459288945,0.99913459288945,0,0,,,,,,,,,,,,,0.0942297681363815,,1980-01-01,4.17988412050457,3.60242193231547,0.577462188189103,2.0659348350261
1980-04-01,5.23388693295303,3.78760697726999,1.44627995568303,1.7244750120575,,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,2.25228601504697,,1980-04-01,4.06707849438712,3.57964350379795,0.487434990589173,1.53983468078826
1980-07-01,3.92603991162448,3.85022783744752,0.0758120741769617,1.16081476235831,,0.775887720148352,0.2,0,0.202288356514171,0.2,0,0,,,,,,,,,,,,,3.21072464437552,,1980-07-01,4.00447285969529,3.56188011493644,0.442592744758853,1.37096325348369
1980-10-01,3.87875609999553,3.89083843679858,-0.0120823368030433,0.938213153242486,,0.2,0.2,0,0,0,0,0,,,,,,,,,,,,,0.497971690004467,,1980-10-01,3.90415567193899,3.54282884469017,0.361326827248814,1.2944444302687
1981-01-01,4.00340843179987,3.93352568544385,0.0698827463560206,0.825303185218559,,0,0,0.2,0,0,0,0,,,,,,,,,,,,,-2.56701958479987,,1981-01-01,3.73650858416381,3.52078776682182,0.215720817341994,1.31572943999117
1981-04-01,3.31820338795928,3.86102248117425,-0.542819093214975,0.56947505385159,,0.202288356514171,0,0,0.202288356514171,0.2,0,0,,,,,,,,,,,,,-2.32846616095928,,1981-04-01,3.55317695756162,3.495493647903,0.0576833096586161,1.04684253819357
1981-07-01,3.22552141586473,3.836588865377,-0.611067449512269,0.530517195510754,,0.2,0,0,0.2,0.2,0,0,,,,,,,,,,,,,-0.70621237786473,,1981-07-01,3.39307199555633,3.47337247512772,-0.0803004795713901,1.0119106792535
1981-10-01,2.48686459000312,3.68077059068822,-1.1939060006851,0.289535135407391,,0,0,0,0,0,7.29807861256066,0.2,,,,,,,,,,,,,-0.336541068003123,,1981-10-01,3.29757820908834,3.45170170098509,-0.154123491896755,0.542175769827963
1982-01-01,1.57342668318737,3.740218073987,-2.16679139079963,0.0334904219304235,,0,0,0,0,0,0.2,0.2,,,,,,,,,,,,,-0.0177385821873699,,1982-01-01,3.25621136133557,3.43727447588884,-0.181063114553272,0.630315685824598
1982-04-01,1.36720589648794,3.85453167333369,-2.48732577684575,-0.00910232095844776,,,,,,,,,,,,,,,,,,,,,0.295171333512059,,1982-04-01,3.12550131054724,3.42055417126478,-0.295052860717543,0.973558748853179
1982-07-01,0.867711308423599,3.60618091322605,-2.73846960480245,-0.191536572017355,,,,,,,,,,,,,,,,,,,,,0.836023997576401,,1982-07-01,3.02867569825961,3.39852298037918,-0.369847282119578,0.295547997740755
1982-10-01,0.584740295276551,3.5724018852318,-2.98766158995525,-0.270847200207527,,,,,,,,,,,,,,,,,,,,,1.80519728772345,,1982-10-01,3.06300231999604,3.38809666574071,-0.325094345744677,0.209754349158686
1983-01-01,-0.716235442351813,3.449977700084,-4.16621314243581,-0.635591459866191,,,,,,,,,,,,,,,,,,,,,2.93344952235181,,1983-01-01,3.18933738876381,3.37960365963483,-0.190266270871025,-0.222689096810484
1983-04-01,-0.649278381129808,3.42569865604613,-4.07497703717594,-0.629398928708667,,,,,,,,,,,,,,,,,,,,,1.65570135212981,,1983-04-01,3.4166282631416,3.37872392663855,0.0379043365030514,-0.278754801328034
1983-07-01,-0.362964172232696,3.46283915193188,-3.82580332416458,-0.535163301570435,,,,,,,,,,,,,,,,,,,,,1.8396057852327,,1983-07-01,3.65040318645003,3.37879675556016,0.27160643088987,-0.12657901065819
1983-10-01,0.45175856441064,3.38459122050638,-2.93283265609574,-0.328789712685477,,,,,,,,,,,,,,,,,,,,,2.01749231658936,,1983-10-01,3.90580617949474,3.37680085835124,0.529005321143504,-0.259658412234501
1984-01-01,-0.235273199713024,3.41317681844065,-3.64845001815368,-0.49620307516193,,,,,,,,,,,,,,,,,,,,,2.51282301471302,,1984-01-01,4.20921977169333,3.37731706830119,0.831902703392143,-0.232059145337928
1984-04-01,0.203059550149683,3.50431890420595,-3.30125935405627,-0.37405565134361,,,,,,,,,,,,,,,,,,,,,1.61805592885032,,1984-04-01,4.48363378732428,3.37718554008391,1.10644824724037,0.0606937351174679
1984-07-01,0.043106029465573,3.4936731267817,-3.45056709731613,-0.42104970200063,,,,,,,,,,,,,,,,,,,,,1.94527974353443,,1984-07-01,4.73036000602704,3.37194843766639,1.35841156836066,0.0315268357617242
