

  zlbflag = 1, policy_flag = 1

  nstage = 5, particle (para) = 1200, particle (var) = 40000

  Measurement error = 0.28783, 0.024649, 0.026244

                        [ESTIMATION RESULT]
----------------------------------------------------------------------
Parameter         Mean        Stdev     95%Low     95%Up    Geweke     Inef.
------------------------------------------------------------------------------
sigma               1.2866      0.0598     1.237     1.387     0.005     0.917 
gamma_a             0.1397      0.0637     0.031     0.220     0.005     0.817 
omega               2.7020      0.1357     2.569     2.936     0.096     0.309 
kappa               0.0504      0.0012     0.048     0.052     0.000     0.043 
pi_star            -0.1383      0.1103    -0.316    -0.030     0.347     0.719 
psi_pi              1.4256      0.0313     1.379     1.476     0.000     0.274 
psi_y               0.1268      0.0025     0.123     0.130     0.000     1.274 
rho_a               0.1565      0.0378     0.115     0.211     0.001     0.267 
rho_b               0.6589      0.0132     0.647     0.682     0.322     0.179 
rho_r               0.3859      0.0256     0.354     0.406     0.000     0.396 
sigma_a             1.2849      0.0945     1.131     1.412     0.000     0.378 
sigma_b             1.4831      0.0535     1.418     1.565     0.002     0.157 
sigma_r             1.1824      0.1208     1.023     1.410     0.424     0.260 
phi               396.7825     26.2993   372.073   443.564     0.203     0.218 
post             -262.7905      2.4952  -267.062  -258.693     0.000     0.357 
lik              -279.2912      2.7541  -283.934  -274.727     0.000     0.313 
accept_rate(1)      0.0033      0.0577     0.000     0.000     0.361     1.112 
accept_rate(2)      0.5583      0.4968     0.000     1.000     0.269     0.102 
accept_rate(3)      0.5192      0.4998     0.000     1.000     0.000     1.045 
accept_rate(4)      0.4850      0.5000     0.000     1.000     0.000     0.494 
accept_rate(5)      0.4650      0.4990     0.000     1.000     0.000     1.263 
----------------------------------------------------------------------
