time,Y-Y*,Y*-Y*(-4),pi (= p-p(-1)),i
1983.1Q,-0.008146236,0.025170975,0.001654437,6.635666667
1983.2Q,-0.005793878,0.025173886,0.002369139,6.190933333
1983.3Q,-0.003209206,0.025116582,0.003594762,6.458766667
1983.4Q,0.003739011,0.02515607,0.008066805,6.283666667
1984.1Q,0.007126071,0.026812926,0.0045319,6.181766667
1984.2Q,0.006372258,0.026780161,0.005424975,5.8443
1984.3Q,0.005331791,0.029537047,0.004619468,6.152766667
1984.4Q,0.009043702,0.02978876,0.008621831,6.2211
1985.1Q,0.007729116,0.032096076,0.004362522,6.248733333
1985.2Q,0.004143393,0.031852132,0.003340409,6.068566667
1985.3Q,0.002762534,0.03249647,0.003821014,6.387166667
1985.4Q,0.001069758,0.032322033,0.00205943,7.440333333
1986.1Q,0.001810807,0.031170552,0.004869623,6.275433333
1986.2Q,-0.006498188,0.03117844,0.000443898,4.6293
1986.3Q,-0.00771504,0.029869224,-0.001949761,4.688466667
1986.4Q,-0.008539052,0.029596437,-0.000299324,4.2521
1987.1Q,-0.009092536,0.028617873,0.000792884,4.1998
1987.2Q,-0.010806537,0.028698677,0.001745598,3.439166667
1987.3Q,-0.003435417,0.028640702,0.002790847,3.374766667
1987.4Q,0.008198933,0.028618055,0.000270454,3.661433333
1988.1Q,0.014051106,0.029097976,0.000516703,3.686
1988.2Q,0.014303593,0.029242976,-0.000177836,3.517566667
1988.3Q,0.017999248,0.028671037,0.002439432,3.9766
1988.4Q,0.02198689,0.028579716,0.003062298,4.158966667
1989.1Q,0.027617766,0.028021448,0.003940895,4.175763333
1989.2Q,0.030307596,0.028128526,0.004922629,4.744363333
1989.3Q,0.031761476,0.027685934,0.004452852,5.34546
1989.4Q,0.037927324,0.027762286,0.003665519,6.202803333
1990.1Q,0.044151355,0.027649925,0.006301312,6.680213333
1990.2Q,0.045022859,0.027984322,0.006157546,7.262003333
1990.3Q,0.04810491,0.02770079,0.007058967,7.610263333
1990.4Q,0.057474929,0.028100062,0.010504409,8.03911
1991.1Q,0.054308505,0.027198253,0.007436292,8.150826667
1991.2Q,0.051765774,0.026507119,0.004387209,8.102333333
1991.3Q,0.047341031,0.025309811,0.006395499,7.33144
1991.4Q,0.039468491,0.025666778,0.004986077,6.51676
1992.1Q,0.037432216,0.022922895,0.005978015,5.62072
1992.2Q,0.028057644,0.024868504,0.00784157,4.75476
1992.3Q,0.019178362,0.019459623,0.003189262,4.292286667
1992.4Q,0.0088895,0.019674515,0.003595263,3.97149
1993.1Q,-0.001785002,0.015140489,0.002458067,3.472613333
1993.2Q,-0.005107648,0.014508962,0.003192324,3.19982
1993.3Q,-0.008988869,0.012558662,0.002748743,3.083283333
1993.4Q,-0.016955936,0.012995348,0.000871136,2.481693333
1994.1Q,-0.022947232,0.011511992,0.002028112,2.273793333
1994.2Q,-0.018724046,0.012038955,0.004456166,2.10932
1994.3Q,-0.019088189,0.010585034,-0.000604685,2.13378
1994.4Q,-0.015246727,0.01066197,-0.000850021,2.265946667
1995.1Q,-0.013829923,0.008983614,0.000962772,2.218703333
1995.2Q,-0.009338093,0.00931166,-0.001575579,1.371666667
1995.3Q,-0.014202738,0.008750831,0.000403225,0.8
1995.4Q,-0.010398381,0.008666919,0.00074608,0.463333333
1996.1Q,-0.00826226,0.009209006,-0.000433394,0.463333333
1996.2Q,-0.0068228,0.008994695,0.00102156,0.476666667
1996.3Q,-0.003234515,0.008487043,0.000978489,0.463333333
1996.4Q,-0.001891178,0.008404246,0.001334056,0.483333333
1997.1Q,0.004435972,0.004007488,0.001329623,0.496666667
1997.2Q,0.003738773,0.003737935,0.00141025,0.496666667
1997.3Q,0.001873143,0.00042476,0.001918055,0.49
1997.4Q,-0.005465601,0.000722946,0.001620166,0.453333333
1998.1Q,-0.010652942,-0.000892773,-0.001539143,0.433333333
1998.2Q,-0.016724555,-0.000601654,-0.001450197,0.436666667
1998.3Q,-0.022532306,-0.001694215,-0.000824203,0.386666667
1998.4Q,-0.024896529,-0.001528266,0.000529688,0.23
1999.1Q,-0.026288846,-0.000267889,0.000785145,0.15
1999.2Q,-0.03014192,0.000327841,-0.000377153,0.03
1999.3Q,-0.023838327,0.001488771,-0.001193279,0.03
1999.4Q,-0.016495322,0.001589181,0.000240344,0.023333333
2000.1Q,-0.015484713,0.003310782,-0.000264816,0.023333333
2000.2Q,-0.009880582,0.003284009,-0.001044691,0.02
2000.3Q,-0.007862868,0.004974929,-0.001555265,0.143333333
2000.4Q,-0.003331214,0.004275261,-0.003989873,0.246666667
2001.1Q,-0.010757573,0.005108038,-0.00172069,0.203333333
2001.2Q,-0.018821809,0.004713111,-0.001696349,0.02
2001.3Q,-0.030456418,0.003198888,-0.001601784,0.008333333
2001.4Q,-0.035213885,0.003301257,-0.002913369,0.002333333
2002.1Q,-0.034395987,0.001574101,-0.001480217,0.001333333
2002.2Q,-0.031695448,0.002098618,-0.002382683,0.001
2002.3Q,-0.026474932,0.000834837,-0.002258569,0.003
2002.4Q,-0.023771619,0.002091123,-0.001921089,0.002
2003.1Q,-0.021865426,0.002766576,-0.000551309,0.001666667
2003.2Q,-0.019945927,0.001855614,0.000753923,0.001
2003.3Q,-0.016579505,0.003606872,0.000159432,0.001666667
2003.4Q,-0.008692431,0.003913368,-0.000328371,0.001
2004.1Q,-0.005953593,0.004715049,-0.00120031,0.000666667
2004.2Q,-0.005831389,0.005600398,-0.000582187,0.000666667
2004.3Q,-0.002752715,0.008188079,0.000564582,0.000666667
2004.4Q,-0.006207892,0.007764513,-0.000473116,0.001
2005.1Q,-0.00307578,0.009102262,-0.000127502,0.001333333
2005.2Q,0.000811416,0.009951585,-0.000174456,0.001
2005.3Q,0.00335947,0.010222711,-0.001538365,0.001
2005.4Q,0.006420527,0.010436253,0.000563685,0.001
2006.1Q,0.008527641,0.010606709,0.001228998,0.001333333
2006.2Q,0.009950158,0.010122652,0.000148155,0.019333333
2006.3Q,0.013202984,0.009322606,0.00020465,0.222
2006.4Q,0.015502595,0.00905253,-3.88286E-05,0.255333333
2007.1Q,0.016806638,0.008299805,-0.001732483,0.377666667
2007.2Q,0.016386565,0.008029806,0.000561248,0.514
2007.3Q,0.017050525,0.007959035,5.18654E-05,0.498
2007.4Q,0.021790493,0.008233222,0.005446506,0.501
2008.1Q,0.018322499,0.008479935,0.003703774,0.505666667
2008.2Q,0.011443524,0.0089927,0.004251349,0.506666667
2008.3Q,-0.002264852,0.006903692,0.009576912,0.500666667
2008.4Q,-0.023606691,0.007325447,-0.007495065,0.333
2009.1Q,-0.072141671,0.004047093,-0.006924921,0.110333333
2009.2Q,-0.068790847,0.003626594,-0.004420963,0.103333333
2009.3Q,-0.058373184,0.000910329,-0.004251009,0.103333333
2009.4Q,-0.046830443,0.000760632,-0.001088436,0.104
2010.1Q,-0.035675856,0.00126868,-3.13838E-05,0.098
2010.2Q,-0.030359743,0.001389344,-0.00508487,0.093
2010.3Q,-0.022736337,0.003168136,-0.005213707,0.093333333
