time,Y-Y*,Y*-Y*(-4),pi (= p-p(-1)),i
1983.1Q,-0.814623551,2.517097502,0.165443663,1.658916667
1983.2Q,-0.579387835,2.517388613,0.236913858,1.547733333
1983.3Q,-0.320920597,2.511658238,0.359476243,1.614691667
1983.4Q,0.373901147,2.515607037,0.806680453,1.570916667
1984.1Q,0.712607132,2.68129258,0.453189982,1.545441667
1984.2Q,0.637225848,2.678016115,0.542497505,1.461075
1984.3Q,0.533179063,2.953704651,0.461946753,1.538191667
1984.4Q,0.904370249,2.978876038,0.862183134,1.555275
1985.1Q,0.772911585,3.209607574,0.43625219,1.562183333
1985.2Q,0.414339345,3.185213203,0.334040875,1.517141667
1985.3Q,0.276253367,3.249646981,0.38210144,1.596791667
1985.4Q,0.106975822,3.232203283,0.205943033,1.860083333
1986.1Q,0.181080739,3.117055174,0.486962271,1.568858333
1986.2Q,-0.649818763,3.117843987,0.044389793,1.157325
1986.3Q,-0.771503977,2.986922384,-0.194976118,1.172116667
1986.4Q,-0.853905195,2.959643696,-0.029932426,1.063025
1987.1Q,-0.909253557,2.86178734,0.079288447,1.04995
1987.2Q,-1.080653742,2.869867694,0.174559785,0.859791667
1987.3Q,-0.343541744,2.864070201,0.279084742,0.843691667
1987.4Q,0.819893256,2.861805513,0.027045363,0.915358333
1988.1Q,1.405110589,2.909797612,0.051670268,0.9215
1988.2Q,1.430359334,2.924297623,-0.017783615,0.879391667
1988.3Q,1.799924837,2.867103665,0.243943242,0.99415
1988.4Q,2.198688994,2.857971643,0.306229821,1.039741667
1989.1Q,2.761776646,2.802144789,0.394089481,1.043940833
1989.2Q,3.030759606,2.812852557,0.492262851,1.186090833
1989.3Q,3.176147556,2.768593417,0.445285173,1.336365
1989.4Q,3.792732429,2.776228584,0.36655186,1.550700833
1990.1Q,4.415135548,2.764992456,0.630131153,1.670053333
1990.2Q,4.50228593,2.798432233,0.615754558,1.815500833
1990.3Q,4.810491036,2.770078973,0.705896681,1.902565833
1990.4Q,5.747492938,2.810006226,1.05044093,2.0097775
1991.1Q,5.430850453,2.71982528,0.743629224,2.037706667
1991.2Q,5.176577374,2.650711903,0.438720889,2.025583333
1991.3Q,4.734103087,2.530981086,0.639549856,1.83286
1991.4Q,3.946849075,2.566677774,0.49860774,1.62919
1992.1Q,3.743221553,2.29228947,0.597801466,1.40518
1992.2Q,2.805764413,2.486850391,0.784156983,1.18869
1992.3Q,1.917836163,1.945962301,0.31892619,1.073071667
1992.4Q,0.888949956,1.967451502,0.359526285,0.9928725
1993.1Q,-0.178500229,1.514048887,0.245806697,0.868153333
1993.2Q,-0.510764835,1.450896168,0.31923243,0.799955
1993.3Q,-0.898886899,1.255866204,0.274874287,0.770820833
1993.4Q,-1.69559365,1.299534824,0.087113611,0.620423333
1994.1Q,-2.294723165,1.151199198,0.202811187,0.568448333
1994.2Q,-1.872404645,1.203895471,0.445616588,0.52733
1994.3Q,-1.908818943,1.058503434,-0.060468531,0.533445
1994.4Q,-1.524672726,1.06619699,-0.085002135,0.566486667
1995.1Q,-1.382992327,0.898361442,0.096277179,0.554675833
1995.2Q,-0.933809268,0.931165997,-0.157557918,0.342916667
