parameters,comment,mean,stdd,mask,shape,upper,lower
sigma,w,1.5,0.5,0,3,10,0.8
beta,w,0.995,0,1,0,0,0
chi,labour,1,0,1,0,0,0
gamma_a,w,0,2.5,0,3,5,-5
gamma_b,w,0,2.5,0,3,5,-5
omega,w,2,0.5,0,3,5,0
epsilon,w,6,0,1,0,0,0
kappa,w,0.024,0.006,0,3,1,-1
pi_star,inflation,0,2.5,0,3,5,-5
psi_pi,monetary policy,1.5,0.2,0,3,5,1
psi_y,monetary policy,0.125,0.1,0,3,5,0
rho_a,persistent ,0.5,0.2,0,1,0.85,0
rho_b,persistent ,0.5,0.2,0,1,0.85,0
rho_r,persistent ,0.5,0.2,0,1,0.85,0
sigma_a,stdd,0.01,5,0,4,0,0
sigma_b,stdd,0.01,5,0,4,0,0
sigma_r,stdd,0.01,5,0,4,0,0
sigma_y,measurement erro,0.226,0,1,0,0,0
sigma_pi,measurement erro,0.0314,0,1,0,0,0
sigma_R,measurement erro,0.0648,0,1,0,0,0
,, ,,,,,
