

  zlbflag = 1, policy_flag = 1

  nstage = 10, particle (para) = 1200, particle (var) = 40000

  Measurement error = 1.2769, 0.024649, 0.026244

                        [ESTIMATION RESULT]
----------------------------------------------------------------------
Parameter         Mean        Stdev     95%Low     95%Up    Geweke     Inef.
------------------------------------------------------------------------------
sigma               1.5964      0.0455     1.547     1.686     0.159     0.321 
gamma_a            -0.0556      0.0268    -0.088    -0.003     0.482     0.184 
omega               3.0303      0.0987     2.810     3.137     0.957     0.323 
kappa               0.0436      0.0010     0.042     0.046     0.284     0.904 
pi_star             0.1535      0.0284     0.078     0.186     0.000     1.262 
psi_pi              1.4678      0.0066     1.458     1.477     0.008     1.148 
psi_y               0.1127      0.0017     0.110     0.116     0.001     0.467 
rho_a               0.2019      0.0241     0.153     0.233     0.000     0.433 
rho_b               0.6797      0.0044     0.673     0.687     0.025     0.670 
rho_r               0.6642      0.0093     0.645     0.675     0.000     1.192 
sigma_a             3.4732      0.4155     2.988     4.367     0.000     0.344 
sigma_b             2.2847      0.0433     2.225     2.383     0.671     0.870 
sigma_r             0.8234      0.0375     0.773     0.906     0.005     1.169 
phi               529.6879     17.9546   487.672   552.033     0.662     0.642 
r^*                 0.4135      0.0416     0.364     0.497     0.316     0.170 
post             -238.1133      2.0410  -241.857  -235.002     0.000     0.587 
lik              -248.8141      2.7052  -253.652  -244.819     0.000     0.979 
----------------------------------------------------------------------
