

  zlbflag = 1, policy_flag = 1

  nstage = 10, particle (para) = 800, particle (var) = 40000

  Measurement error = 1.2769, 0.024649, 0.026244

                        [ESTIMATION RESULT]
----------------------------------------------------------------------
Parameter         Mean        Stdev     95%Low     95%Up    Geweke     Inef.
------------------------------------------------------------------------------
sigma               1.5127      0.0385     1.468     1.586     0.947     0.299 
gamma_a            -0.0765      0.0289    -0.132    -0.041     0.359     0.340 
omega               2.7433      0.0816     2.585     2.841     0.743     0.320 
kappa               0.0548      0.0007     0.054     0.056     0.002     0.768 
pi_star             0.6483      0.0520     0.549     0.714     0.000     0.276 
psi_pi              1.4313      0.0218     1.407     1.472     0.005     0.310 
psi_y               0.1008      0.0016     0.098     0.103     0.000     0.676 
rho_a               0.2223      0.0347     0.157     0.262     0.702     0.296 
rho_b               0.8010      0.0046     0.794     0.810     0.040     0.415 
rho_r               0.5970      0.0179     0.575     0.631     0.382     0.375 
sigma_a             1.4118      0.1960     1.202     1.766     0.186     0.246 
sigma_b             1.9458      0.1734     1.623     2.133     0.220     0.309 
sigma_r             1.4734      0.0341     1.424     1.535     0.002     0.276 
phi               386.2489      7.9521   371.782   397.892     0.024     0.591 
r^*                 0.3845      0.0474     0.292     0.441     0.379     0.342 
post             -511.2157      2.5414  -516.471  -508.540     0.135     0.126 
lik              -528.4927      2.7744  -533.834  -525.442     0.629     0.124 
----------------------------------------------------------------------
